"label","n","parent","id"
"Denmark",124,"total -  Adventure","total -  Adventure  -  Denmark"
"Denmark",53,"total -  Animation","total -  Animation  -  Denmark"
"Denmark",18,"total -  Biography","total -  Biography  -  Denmark"
"Denmark",185,"total -  Comedy","total -  Comedy  -  Denmark"
"Denmark",143,"total -  Crime","total -  Crime  -  Denmark"
"Denmark",24,"total -  Documentary","total -  Documentary  -  Denmark"
"Denmark",312,"total -  Drama","total -  Drama  -  Denmark"
"Denmark",24,"total -  Family","total -  Family  -  Denmark"
"Denmark",41,"total -  Fantasy","total -  Fantasy  -  Denmark"
"Denmark",9,"total -  Game Show","total -  Game Show  -  Denmark"
"Denmark",5,"total -  History","total -  History  -  Denmark"
"Denmark",25,"total -  Horror","total -  Horror  -  Denmark"
"Denmark",3,"total -  Music","total -  Music  -  Denmark"
"Denmark",1,"total -  Musical","total -  Musical  -  Denmark"
"Denmark",54,"total -  Mystery","total -  Mystery  -  Denmark"
"Denmark",32,"total -  Reality TV","total -  Reality TV  -  Denmark"
"Denmark",90,"total -  Romance","total -  Romance  -  Denmark"
"Denmark",17,"total -  Sci Fi","total -  Sci Fi  -  Denmark"
"Denmark",2,"total -  Short","total -  Short  -  Denmark"
"Denmark",12,"total -  Sport","total -  Sport  -  Denmark"
"Denmark",9,"total -  Talk Show","total -  Talk Show  -  Denmark"
"Denmark",63,"total -  Thriller","total -  Thriller  -  Denmark"
"Denmark",11,"total -  War","total -  War  -  Denmark"
"Denmark",1,"total -  Western","total -  Western  -  Denmark"
"Dominican Republic",184,"total -  Action","total -  Action  -  Dominican Republic"
"Dominican Republic",3,"total -  Adult","total -  Adult  -  Dominican Republic"
"Dominican Republic",116,"total -  Adventure","total -  Adventure  -  Dominican Republic"
"Dominican Republic",54,"total -  Animation","total -  Animation  -  Dominican Republic"
"Dominican Republic",5,"total -  Biography","total -  Biography  -  Dominican Republic"
"Dominican Republic",156,"total -  Comedy","total -  Comedy  -  Dominican Republic"
"Dominican Republic",119,"total -  Crime","total -  Crime  -  Dominican Republic"
"Dominican Republic",9,"total -  Documentary","total -  Documentary  -  Dominican Republic"
"Dominican Republic",286,"total -  Drama","total -  Drama  -  Dominican Republic"
"Dominican Republic",20,"total -  Family","total -  Family  -  Dominican Republic"
"Dominican Republic",32,"total -  Fantasy","total -  Fantasy  -  Dominican Republic"
"Dominican Republic",2,"total -  Game Show","total -  Game Show  -  Dominican Republic"
"Dominican Republic",1,"total -  History","total -  History  -  Dominican Republic"
"Dominican Republic",30,"total -  Horror","total -  Horror  -  Dominican Republic"
"Dominican Republic",33,"total -  Music","total -  Music  -  Dominican Republic"
"Dominican Republic",41,"total -  Mystery","total -  Mystery  -  Dominican Republic"
"Dominican Republic",5,"total -  Reality TV","total -  Reality TV  -  Dominican Republic"
"Dominican Republic",86,"total -  Romance","total -  Romance  -  Dominican Republic"
"Dominican Republic",25,"total -  Sci Fi","total -  Sci Fi  -  Dominican Republic"
"Dominican Republic",3,"total -  Short","total -  Short  -  Dominican Republic"
"Dominican Republic",6,"total -  Sport","total -  Sport  -  Dominican Republic"
"Dominican Republic",5,"total -  Talk Show","total -  Talk Show  -  Dominican Republic"
"Dominican Republic",79,"total -  Thriller","total -  Thriller  -  Dominican Republic"
"Dominican Republic",4,"total -  War","total -  War  -  Dominican Republic"
"Ecuador",156,"total -  Action","total -  Action  -  Ecuador"
"Ecuador",3,"total -  Adult","total -  Adult  -  Ecuador"
"Ecuador",125,"total -  Adventure","total -  Adventure  -  Ecuador"
"Ecuador",71,"total -  Animation","total -  Animation  -  Ecuador"
"Ecuador",3,"total -  Biography","total -  Biography  -  Ecuador"
"Ecuador",203,"total -  Comedy","total -  Comedy  -  Ecuador"
"Ecuador",94,"total -  Crime","total -  Crime  -  Ecuador"
"Ecuador",8,"total -  Documentary","total -  Documentary  -  Ecuador"
"Ecuador",277,"total -  Drama","total -  Drama  -  Ecuador"
"Ecuador",17,"total -  Family","total -  Family  -  Ecuador"
"Ecuador",26,"total -  Fantasy","total -  Fantasy  -  Ecuador"
"Ecuador",28,"total -  Horror","total -  Horror  -  Ecuador"
"Ecuador",32,"total -  Music","total -  Music  -  Ecuador"
"Ecuador",37,"total -  Mystery","total -  Mystery  -  Ecuador"
"Ecuador",5,"total -  Reality TV","total -  Reality TV  -  Ecuador"
"Ecuador",103,"total -  Romance","total -  Romance  -  Ecuador"
"Ecuador",22,"total -  Sci Fi","total -  Sci Fi  -  Ecuador"
"Ecuador",7,"total -  Sport","total -  Sport  -  Ecuador"
"Ecuador",5,"total -  Talk Show","total -  Talk Show  -  Ecuador"
"Ecuador",68,"total -  Thriller","total -  Thriller  -  Ecuador"
"Ecuador",3,"total -  War","total -  War  -  Ecuador"
"Egypt",187,"total -  Action","total -  Action  -  Egypt"
"Egypt",6,"total -  Adult","total -  Adult  -  Egypt"
"Egypt",106,"total -  Adventure","total -  Adventure  -  Egypt"
"Egypt",54,"total -  Animation","total -  Animation  -  Egypt"
"Egypt",11,"total -  Biography","total -  Biography  -  Egypt"
"Egypt",180,"total -  Comedy","total -  Comedy  -  Egypt"
"Egypt",115,"total -  Crime","total -  Crime  -  Egypt"
"Egypt",9,"total -  Documentary","total -  Documentary  -  Egypt"
"Egypt",318,"total -  Drama","total -  Drama  -  Egypt"
"Egypt",18,"total -  Family","total -  Family  -  Egypt"
"Egypt",35,"total -  Fantasy","total -  Fantasy  -  Egypt"
"Egypt",4,"total -  Game Show","total -  Game Show  -  Egypt"
"Egypt",4,"total -  History","total -  History  -  Egypt"
"Egypt",35,"total -  Horror","total -  Horror  -  Egypt"
"Egypt",1,"total -  Music","total -  Music  -  Egypt"
"Egypt",44,"total -  Mystery","total -  Mystery  -  Egypt"
"Egypt",13,"total -  Reality TV","total -  Reality TV  -  Egypt"
"Egypt",90,"total -  Romance","total -  Romance  -  Egypt"
"Egypt",26,"total -  Sci Fi","total -  Sci Fi  -  Egypt"
"Egypt",19,"total -  Short","total -  Short  -  Egypt"
"Egypt",3,"total -  Sport","total -  Sport  -  Egypt"
"Egypt",12,"total -  Talk Show","total -  Talk Show  -  Egypt"
"Egypt",86,"total -  Thriller","total -  Thriller  -  Egypt"
"Egypt",3,"total -  War","total -  War  -  Egypt"
"El Salvador",149,"total -  Action","total -  Action  -  El Salvador"
"El Salvador",3,"total -  Adult","total -  Adult  -  El Salvador"
"El Salvador",109,"total -  Adventure","total -  Adventure  -  El Salvador"
"El Salvador",66,"total -  Animation","total -  Animation  -  El Salvador"
"El Salvador",2,"total -  Biography","total -  Biography  -  El Salvador"
"El Salvador",191,"total -  Comedy","total -  Comedy  -  El Salvador"
"El Salvador",109,"total -  Crime","total -  Crime  -  El Salvador"
"El Salvador",7,"total -  Documentary","total -  Documentary  -  El Salvador"
"El Salvador",295,"total -  Drama","total -  Drama  -  El Salvador"
"El Salvador",16,"total -  Family","total -  Family  -  El Salvador"
"El Salvador",25,"total -  Fantasy","total -  Fantasy  -  El Salvador"
"El Salvador",25,"total -  Horror","total -  Horror  -  El Salvador"
"El Salvador",31,"total -  Music","total -  Music  -  El Salvador"
"El Salvador",36,"total -  Mystery","total -  Mystery  -  El Salvador"
"El Salvador",3,"total -  Reality TV","total -  Reality TV  -  El Salvador"
"El Salvador",109,"total -  Romance","total -  Romance  -  El Salvador"
"El Salvador",21,"total -  Sci Fi","total -  Sci Fi  -  El Salvador"
"El Salvador",3,"total -  Short","total -  Short  -  El Salvador"
"El Salvador",8,"total -  Sport","total -  Sport  -  El Salvador"
"El Salvador",5,"total -  Talk Show","total -  Talk Show  -  El Salvador"
"El Salvador",66,"total -  Thriller","total -  Thriller  -  El Salvador"
"El Salvador",4,"total -  War","total -  War  -  El Salvador"
"Estonia",187,"total -  Action","total -  Action  -  Estonia"
"Estonia",4,"total -  Adult","total -  Adult  -  Estonia"
"Estonia",128,"total -  Adventure","total -  Adventure  -  Estonia"
"Estonia",56,"total -  Animation","total -  Animation  -  Estonia"
"Estonia",11,"total -  Biography","total -  Biography  -  Estonia"
"Estonia",210,"total -  Comedy","total -  Comedy  -  Estonia"
"Estonia",111,"total -  Crime","total -  Crime  -  Estonia"
"Estonia",14,"total -  Documentary","total -  Documentary  -  Estonia"
"Estonia",265,"total -  Drama","total -  Drama  -  Estonia"
"Estonia",28,"total -  Family","total -  Family  -  Estonia"
"Estonia",44,"total -  Fantasy","total -  Fantasy  -  Estonia"
"Estonia",8,"total -  Game Show","total -  Game Show  -  Estonia"
"Estonia",32,"total -  Horror","total -  Horror  -  Estonia"
"Estonia",4,"total -  Music","total -  Music  -  Estonia"
"Estonia",1,"total -  Musical","total -  Musical  -  Estonia"
"Estonia",58,"total -  Mystery","total -  Mystery  -  Estonia"
"Estonia",27,"total -  Reality TV","total -  Reality TV  -  Estonia"
"Estonia",78,"total -  Romance","total -  Romance  -  Estonia"
"Estonia",45,"total -  Sci Fi","total -  Sci Fi  -  Estonia"
"Estonia",7,"total -  Short","total -  Short  -  Estonia"
"Estonia",8,"total -  Sport","total -  Sport  -  Estonia"
"Estonia",7,"total -  Talk Show","total -  Talk Show  -  Estonia"
"Estonia",58,"total -  Thriller","total -  Thriller  -  Estonia"
"Estonia",3,"total -  War","total -  War  -  Estonia"
"Finland",205,"total -  Action","total -  Action  -  Finland"
"Finland",5,"total -  Adult","total -  Adult  -  Finland"
"Finland",119,"total -  Adventure","total -  Adventure  -  Finland"
"Finland",53,"total -  Animation","total -  Animation  -  Finland"
"Finland",15,"total -  Biography","total -  Biography  -  Finland"
"Finland",176,"total -  Comedy","total -  Comedy  -  Finland"
"Finland",143,"total -  Crime","total -  Crime  -  Finland"
"Finland",20,"total -  Documentary","total -  Documentary  -  Finland"
"Finland",324,"total -  Drama","total -  Drama  -  Finland"
"Finland",24,"total -  Family","total -  Family  -  Finland"
"Finland",38,"total -  Fantasy","total -  Fantasy  -  Finland"
"Finland",7,"total -  Game Show","total -  Game Show  -  Finland"
"Finland",3,"total -  History","total -  History  -  Finland"
"Finland",30,"total -  Horror","total -  Horror  -  Finland"
"Finland",5,"total -  Music","total -  Music  -  Finland"
"Finland",1,"total -  Musical","total -  Musical  -  Finland"
"Finland",55,"total -  Mystery","total -  Mystery  -  Finland"
"Finland",21,"total -  Reality TV","total -  Reality TV  -  Finland"
"Finland",75,"total -  Romance","total -  Romance  -  Finland"
"Finland",20,"total -  Sci Fi","total -  Sci Fi  -  Finland"
"Finland",11,"total -  Sport","total -  Sport  -  Finland"
"Finland",11,"total -  Talk Show","total -  Talk Show  -  Finland"
"Finland",62,"total -  Thriller","total -  Thriller  -  Finland"
"Finland",11,"total -  War","total -  War  -  Finland"
"France",207,"total -  Action","total -  Action  -  France"
"France",3,"total -  Adult","total -  Adult  -  France"
"France",138,"total -  Adventure","total -  Adventure  -  France"
"France",49,"total -  Animation","total -  Animation  -  France"
"France",9,"total -  Biography","total -  Biography  -  France"
"France",157,"total -  Comedy","total -  Comedy  -  France"
"France",141,"total -  Crime","total -  Crime  -  France"
"France",17,"total -  Documentary","total -  Documentary  -  France"
"France",339,"total -  Drama","total -  Drama  -  France"
"France",20,"total -  Family","total -  Family  -  France"
"France",57,"total -  Fantasy","total -  Fantasy  -  France"
"France",3,"total -  Game Show","total -  Game Show  -  France"
"France",1,"total -  History","total -  History  -  France"
"France",47,"total -  Horror","total -  Horror  -  France"
"France",20,"total -  Music","total -  Music  -  France"
"France",48,"total -  Mystery","total -  Mystery  -  France"
"France",10,"total -  Reality TV","total -  Reality TV  -  France"
"France",69,"total -  Romance","total -  Romance  -  France"
"France",36,"total -  Sci Fi","total -  Sci Fi  -  France"
"France",1,"total -  Short","total -  Short  -  France"
"France",9,"total -  Sport","total -  Sport  -  France"
"France",9,"total -  Talk Show","total -  Talk Show  -  France"
"France",87,"total -  Thriller","total -  Thriller  -  France"
"France",4,"total -  War","total -  War  -  France"
"Germany",209,"total -  Action","total -  Action  -  Germany"
"Germany",7,"total -  Adult","total -  Adult  -  Germany"
"Germany",163,"total -  Adventure","total -  Adventure  -  Germany"
"Germany",47,"total -  Animation","total -  Animation  -  Germany"
"Germany",14,"total -  Biography","total -  Biography  -  Germany"
"Germany",180,"total -  Comedy","total -  Comedy  -  Germany"
"Germany",142,"total -  Crime","total -  Crime  -  Germany"
"Germany",17,"total -  Documentary","total -  Documentary  -  Germany"
"Germany",300,"total -  Drama","total -  Drama  -  Germany"
"Germany",58,"total -  Family","total -  Family  -  Germany"
"Germany",65,"total -  Fantasy","total -  Fantasy  -  Germany"
"Germany",5,"total -  Game Show","total -  Game Show  -  Germany"
"Germany",2,"total -  History","total -  History  -  Germany"
"Germany",48,"total -  Horror","total -  Horror  -  Germany"
"Germany",2,"total -  Music","total -  Music  -  Germany"
"Germany",50,"total -  Mystery","total -  Mystery  -  Germany"
"Germany",15,"total -  Reality TV","total -  Reality TV  -  Germany"
"Germany",72,"total -  Romance","total -  Romance  -  Germany"
"Germany",18,"total -  Sci Fi","total -  Sci Fi  -  Germany"
"Germany",1,"total -  Short","total -  Short  -  Germany"
"Germany",11,"total -  Sport","total -  Sport  -  Germany"
"Germany",11,"total -  Talk Show","total -  Talk Show  -  Germany"
"Germany",78,"total -  Thriller","total -  Thriller  -  Germany"
"Germany",4,"total -  War","total -  War  -  Germany"
"Greece",187,"total -  Action","total -  Action  -  Greece"
"Greece",3,"total -  Adult","total -  Adult  -  Greece"
"Greece",130,"total -  Adventure","total -  Adventure  -  Greece"
"Greece",54,"total -  Animation","total -  Animation  -  Greece"
"Greece",11,"total -  Biography","total -  Biography  -  Greece"
"Greece",176,"total -  Comedy","total -  Comedy  -  Greece"
"Greece",127,"total -  Crime","total -  Crime  -  Greece"
"Greece",18,"total -  Documentary","total -  Documentary  -  Greece"
"Greece",326,"total -  Drama","total -  Drama  -  Greece"
"Greece",26,"total -  Family","total -  Family  -  Greece"
"Greece",45,"total -  Fantasy","total -  Fantasy  -  Greece"
"Greece",6,"total -  Game Show","total -  Game Show  -  Greece"
"Greece",5,"total -  History","total -  History  -  Greece"
"Greece",31,"total -  Horror","total -  Horror  -  Greece"
"Greece",3,"total -  Music","total -  Music  -  Greece"
"Greece",56,"total -  Mystery","total -  Mystery  -  Greece"
"Greece",9,"total -  Reality TV","total -  Reality TV  -  Greece"
"Greece",85,"total -  Romance","total -  Romance  -  Greece"
"Greece",24,"total -  Sci Fi","total -  Sci Fi  -  Greece"
"Greece",4,"total -  Short","total -  Short  -  Greece"
"Greece",10,"total -  Sport","total -  Sport  -  Greece"
"Greece",10,"total -  Talk Show","total -  Talk Show  -  Greece"
"Greece",53,"total -  Thriller","total -  Thriller  -  Greece"
"Greece",10,"total -  War","total -  War  -  Greece"
"Greece",1,"total -  Western","total -  Western  -  Greece"
"Guadeloupe",221,"total -  Action","total -  Action  -  Guadeloupe"
"Guadeloupe",5,"total -  Adult","total -  Adult  -  Guadeloupe"
"Guadeloupe",129,"total -  Adventure","total -  Adventure  -  Guadeloupe"
"Guadeloupe",45,"total -  Animation","total -  Animation  -  Guadeloupe"
"Guadeloupe",5,"total -  Biography","total -  Biography  -  Guadeloupe"
"Guadeloupe",152,"total -  Comedy","total -  Comedy  -  Guadeloupe"
"Guadeloupe",143,"total -  Crime","total -  Crime  -  Guadeloupe"
"Guadeloupe",12,"total -  Documentary","total -  Documentary  -  Guadeloupe"
"Guadeloupe",312,"total -  Drama","total -  Drama  -  Guadeloupe"
"Guadeloupe",19,"total -  Family","total -  Family  -  Guadeloupe"
"Guadeloupe",49,"total -  Fantasy","total -  Fantasy  -  Guadeloupe"
"Guadeloupe",5,"total -  Game Show","total -  Game Show  -  Guadeloupe"
"Guadeloupe",41,"total -  Horror","total -  Horror  -  Guadeloupe"
"Guadeloupe",34,"total -  Music","total -  Music  -  Guadeloupe"
"Guadeloupe",40,"total -  Mystery","total -  Mystery  -  Guadeloupe"
"Guadeloupe",14,"total -  Reality TV","total -  Reality TV  -  Guadeloupe"
"Guadeloupe",77,"total -  Romance","total -  Romance  -  Guadeloupe"
"Guadeloupe",27,"total -  Sci Fi","total -  Sci Fi  -  Guadeloupe"
"Guadeloupe",2,"total -  Short","total -  Short  -  Guadeloupe"
"Guadeloupe",6,"total -  Sport","total -  Sport  -  Guadeloupe"
"Guadeloupe",6,"total -  Talk Show","total -  Talk Show  -  Guadeloupe"
"Guadeloupe",70,"total -  Thriller","total -  Thriller  -  Guadeloupe"
"Guadeloupe",1,"total -  War","total -  War  -  Guadeloupe"
"Guatemala",132,"total -  Action","total -  Action  -  Guatemala"
"Guatemala",3,"total -  Adult","total -  Adult  -  Guatemala"
"Guatemala",110,"total -  Adventure","total -  Adventure  -  Guatemala"
"Guatemala",66,"total -  Animation","total -  Animation  -  Guatemala"
"Guatemala",4,"total -  Biography","total -  Biography  -  Guatemala"
"Guatemala",202,"total -  Comedy","total -  Comedy  -  Guatemala"
"Guatemala",99,"total -  Crime","total -  Crime  -  Guatemala"
"Guatemala",8,"total -  Documentary","total -  Documentary  -  Guatemala"
"Guatemala",301,"total -  Drama","total -  Drama  -  Guatemala"
"Guatemala",21,"total -  Family","total -  Family  -  Guatemala"
"Guatemala",24,"total -  Fantasy","total -  Fantasy  -  Guatemala"
"Guatemala",26,"total -  Horror","total -  Horror  -  Guatemala"
"Guatemala",32,"total -  Music","total -  Music  -  Guatemala"
"Guatemala",42,"total -  Mystery","total -  Mystery  -  Guatemala"
"Guatemala",4,"total -  Reality TV","total -  Reality TV  -  Guatemala"
"Guatemala",116,"total -  Romance","total -  Romance  -  Guatemala"
"Guatemala",19,"total -  Sci Fi","total -  Sci Fi  -  Guatemala"
"Guatemala",2,"total -  Short","total -  Short  -  Guatemala"
"Guatemala",7,"total -  Sport","total -  Sport  -  Guatemala"
"Guatemala",6,"total -  Talk Show","total -  Talk Show  -  Guatemala"
"Guatemala",61,"total -  Thriller","total -  Thriller  -  Guatemala"
"Guatemala",4,"total -  War","total -  War  -  Guatemala"
"Honduras",140,"total -  Action","total -  Action  -  Honduras"
"Honduras",4,"total -  Adult","total -  Adult  -  Honduras"
"Honduras",94,"total -  Adventure","total -  Adventure  -  Honduras"
"Honduras",49,"total -  Animation","total -  Animation  -  Honduras"
"Honduras",2,"total -  Biography","total -  Biography  -  Honduras"
"Honduras",194,"total -  Comedy","total -  Comedy  -  Honduras"
"Honduras",113,"total -  Crime","total -  Crime  -  Honduras"
"Honduras",8,"total -  Documentary","total -  Documentary  -  Honduras"
"Honduras",312,"total -  Drama","total -  Drama  -  Honduras"
"Honduras",20,"total -  Family","total -  Family  -  Honduras"
"Honduras",27,"total -  Fantasy","total -  Fantasy  -  Honduras"
"Honduras",1,"total -  History","total -  History  -  Honduras"
"Honduras",28,"total -  Horror","total -  Horror  -  Honduras"
"Honduras",32,"total -  Music","total -  Music  -  Honduras"
"Honduras",43,"total -  Mystery","total -  Mystery  -  Honduras"
"Honduras",5,"total -  Reality TV","total -  Reality TV  -  Honduras"
"Honduras",125,"total -  Romance","total -  Romance  -  Honduras"
"Honduras",18,"total -  Sci Fi","total -  Sci Fi  -  Honduras"
"Honduras",2,"total -  Short","total -  Short  -  Honduras"
"Honduras",7,"total -  Sport","total -  Sport  -  Honduras"
"Honduras",5,"total -  Talk Show","total -  Talk Show  -  Honduras"
"Honduras",73,"total -  Thriller","total -  Thriller  -  Honduras"
"Honduras",4,"total -  War","total -  War  -  Honduras"
"Hong Kong",242,"total -  Action","total -  Action  -  Hong Kong"
"Hong Kong",2,"total -  Adult","total -  Adult  -  Hong Kong"
"Hong Kong",116,"total -  Adventure","total -  Adventure  -  Hong Kong"
"Hong Kong",32,"total -  Animation","total -  Animation  -  Hong Kong"
"Hong Kong",14,"total -  Biography","total -  Biography  -  Hong Kong"
"Hong Kong",147,"total -  Comedy","total -  Comedy  -  Hong Kong"
"Hong Kong",100,"total -  Crime","total -  Crime  -  Hong Kong"
"Hong Kong",16,"total -  Documentary","total -  Documentary  -  Hong Kong"
"Hong Kong",337,"total -  Drama","total -  Drama  -  Hong Kong"
"Hong Kong",8,"total -  Family","total -  Family  -  Hong Kong"
"Hong Kong",39,"total -  Fantasy","total -  Fantasy  -  Hong Kong"
"Hong Kong",5,"total -  Game Show","total -  Game Show  -  Hong Kong"
"Hong Kong",6,"total -  History","total -  History  -  Hong Kong"
"Hong Kong",44,"total -  Horror","total -  Horror  -  Hong Kong"
"Hong Kong",3,"total -  Music","total -  Music  -  Hong Kong"
"Hong Kong",73,"total -  Mystery","total -  Mystery  -  Hong Kong"
"Hong Kong",2,"total -  News","total -  News  -  Hong Kong"
"Hong Kong",10,"total -  Reality TV","total -  Reality TV  -  Hong Kong"
"Hong Kong",131,"total -  Romance","total -  Romance  -  Hong Kong"
"Hong Kong",69,"total -  Sci Fi","total -  Sci Fi  -  Hong Kong"
"Hong Kong",2,"total -  Short","total -  Short  -  Hong Kong"
"Hong Kong",11,"total -  Sport","total -  Sport  -  Hong Kong"
"Hong Kong",7,"total -  Talk Show","total -  Talk Show  -  Hong Kong"
"Hong Kong",80,"total -  Thriller","total -  Thriller  -  Hong Kong"
"Hong Kong",5,"total -  War","total -  War  -  Hong Kong"
"Hungary",193,"total -  Action","total -  Action  -  Hungary"
"Hungary",6,"total -  Adult","total -  Adult  -  Hungary"
"Hungary",136,"total -  Adventure","total -  Adventure  -  Hungary"
"Hungary",65,"total -  Animation","total -  Animation  -  Hungary"
"Hungary",9,"total -  Biography","total -  Biography  -  Hungary"
"Hungary",197,"total -  Comedy","total -  Comedy  -  Hungary"
"Hungary",139,"total -  Crime","total -  Crime  -  Hungary"
"Hungary",18,"total -  Documentary","total -  Documentary  -  Hungary"
"Hungary",307,"total -  Drama","total -  Drama  -  Hungary"
"Hungary",30,"total -  Family","total -  Family  -  Hungary"
"Hungary",38,"total -  Fantasy","total -  Fantasy  -  Hungary"
"Hungary",7,"total -  Game Show","total -  Game Show  -  Hungary"
"Hungary",1,"total -  History","total -  History  -  Hungary"
"Hungary",38,"total -  Horror","total -  Horror  -  Hungary"
"Hungary",3,"total -  Music","total -  Music  -  Hungary"
"Hungary",53,"total -  Mystery","total -  Mystery  -  Hungary"
"Hungary",18,"total -  Reality TV","total -  Reality TV  -  Hungary"
"Hungary",93,"total -  Romance","total -  Romance  -  Hungary"
"Hungary",10,"total -  Sci Fi","total -  Sci Fi  -  Hungary"
"Hungary",2,"total -  Short","total -  Short  -  Hungary"
"Hungary",12,"total -  Sport","total -  Sport  -  Hungary"
"Hungary",14,"total -  Talk Show","total -  Talk Show  -  Hungary"
"Hungary",59,"total -  Thriller","total -  Thriller  -  Hungary"
"Hungary",5,"total -  War","total -  War  -  Hungary"
"Iceland",176,"total -  Action","total -  Action  -  Iceland"
"Iceland",4,"total -  Adult","total -  Adult  -  Iceland"
"Iceland",130,"total -  Adventure","total -  Adventure  -  Iceland"
"Iceland",49,"total -  Animation","total -  Animation  -  Iceland"
"Iceland",17,"total -  Biography","total -  Biography  -  Iceland"
"Iceland",199,"total -  Comedy","total -  Comedy  -  Iceland"
"Iceland",126,"total -  Crime","total -  Crime  -  Iceland"
"Iceland",28,"total -  Documentary","total -  Documentary  -  Iceland"
"Iceland",283,"total -  Drama","total -  Drama  -  Iceland"
"Iceland",28,"total -  Family","total -  Family  -  Iceland"
"Iceland",31,"total -  Fantasy","total -  Fantasy  -  Iceland"
"Iceland",11,"total -  Game Show","total -  Game Show  -  Iceland"
"Iceland",5,"total -  History","total -  History  -  Iceland"
"Iceland",28,"total -  Horror","total -  Horror  -  Iceland"
"Iceland",8,"total -  Music","total -  Music  -  Iceland"
"Iceland",52,"total -  Mystery","total -  Mystery  -  Iceland"
"Iceland",40,"total -  Reality TV","total -  Reality TV  -  Iceland"
"Iceland",84,"total -  Romance","total -  Romance  -  Iceland"
"Iceland",33,"total -  Sci Fi","total -  Sci Fi  -  Iceland"
"Iceland",2,"total -  Short","total -  Short  -  Iceland"
"Iceland",11,"total -  Sport","total -  Sport  -  Iceland"
"Iceland",11,"total -  Talk Show","total -  Talk Show  -  Iceland"
"Iceland",56,"total -  Thriller","total -  Thriller  -  Iceland"
"Iceland",6,"total -  War","total -  War  -  Iceland"
"India",247,"total -  Action","total -  Action  -  India"
"India",2,"total -  Adult","total -  Adult  -  India"
"India",68,"total -  Adventure","total -  Adventure  -  India"
"India",21,"total -  Animation","total -  Animation  -  India"
"India",2,"total -  Biography","total -  Biography  -  India"
"India",188,"total -  Comedy","total -  Comedy  -  India"
"India",194,"total -  Crime","total -  Crime  -  India"
"India",11,"total -  Documentary","total -  Documentary  -  India"
"India",375,"total -  Drama","total -  Drama  -  India"
"India",13,"total -  Family","total -  Family  -  India"
"India",43,"total -  Fantasy","total -  Fantasy  -  India"
"India",6,"total -  Game Show","total -  Game Show  -  India"
"India",29,"total -  Horror","total -  Horror  -  India"
"India",2,"total -  Musical","total -  Musical  -  India"
"India",76,"total -  Mystery","total -  Mystery  -  India"
"India",10,"total -  Reality TV","total -  Reality TV  -  India"
"India",80,"total -  Romance","total -  Romance  -  India"
"India",11,"total -  Sci Fi","total -  Sci Fi  -  India"
"India",8,"total -  Short","total -  Short  -  India"
"India",3,"total -  Sport","total -  Sport  -  India"
"India",7,"total -  Talk Show","total -  Talk Show  -  India"
"India",64,"total -  Thriller","total -  Thriller  -  India"
"India",1,"total -  War","total -  War  -  India"
"Indonesia",219,"total -  Action","total -  Action  -  Indonesia"
"Indonesia",3,"total -  Adult","total -  Adult  -  Indonesia"
"Indonesia",88,"total -  Adventure","total -  Adventure  -  Indonesia"
"Indonesia",19,"total -  Animation","total -  Animation  -  Indonesia"
"Indonesia",10,"total -  Biography","total -  Biography  -  Indonesia"
"Indonesia",155,"total -  Comedy","total -  Comedy  -  Indonesia"
"Indonesia",111,"total -  Crime","total -  Crime  -  Indonesia"
"Indonesia",11,"total -  Documentary","total -  Documentary  -  Indonesia"
"Indonesia",321,"total -  Drama","total -  Drama  -  Indonesia"
"Indonesia",18,"total -  Family","total -  Family  -  Indonesia"
"Indonesia",35,"total -  Fantasy","total -  Fantasy  -  Indonesia"
"Indonesia",8,"total -  History","total -  History  -  Indonesia"
"Indonesia",48,"total -  Horror","total -  Horror  -  Indonesia"
"Indonesia",2,"total -  Music","total -  Music  -  Indonesia"
"Indonesia",72,"total -  Mystery","total -  Mystery  -  Indonesia"
"Indonesia",2,"total -  News","total -  News  -  Indonesia"
"Indonesia",4,"total -  Reality TV","total -  Reality TV  -  Indonesia"
"Indonesia",127,"total -  Romance","total -  Romance  -  Indonesia"
"Indonesia",43,"total -  Sci Fi","total -  Sci Fi  -  Indonesia"
"Indonesia",3,"total -  Short","total -  Short  -  Indonesia"
"Indonesia",6,"total -  Sport","total -  Sport  -  Indonesia"
"Indonesia",5,"total -  Talk Show","total -  Talk Show  -  Indonesia"
"Indonesia",83,"total -  Thriller","total -  Thriller  -  Indonesia"
"Indonesia",4,"total -  War","total -  War  -  Indonesia"
"Ireland",133,"total -  Action","total -  Action  -  Ireland"
"Ireland",7,"total -  Adult","total -  Adult  -  Ireland"
"Ireland",130,"total -  Adventure","total -  Adventure  -  Ireland"
"Ireland",66,"total -  Animation","total -  Animation  -  Ireland"
"Ireland",33,"total -  Biography","total -  Biography  -  Ireland"
"Ireland",214,"total -  Comedy","total -  Comedy  -  Ireland"
"Ireland",121,"total -  Crime","total -  Crime  -  Ireland"
"Ireland",29,"total -  Documentary","total -  Documentary  -  Ireland"
"Ireland",280,"total -  Drama","total -  Drama  -  Ireland"
"Ireland",30,"total -  Family","total -  Family  -  Ireland"
"Ireland",22,"total -  Fantasy","total -  Fantasy  -  Ireland"
"Ireland",1,"total -  Film Noir","total -  Film Noir  -  Ireland"
"Ireland",4,"total -  Game Show","total -  Game Show  -  Ireland"
"Ireland",4,"total -  History","total -  History  -  Ireland"
