"id","n","label","parent"
"total -  Comedy  -  Brazil",194,"Brazil","total -  Comedy"
"total -  Crime  -  Brazil",118,"Brazil","total -  Crime"
"total -  Drama  -  Brazil",317,"Brazil","total -  Drama"
"total -  Family  -  Brazil",104,"Brazil","total -  Family"
"total -  Musical  -  Brazil",51,"Brazil","total -  Musical"
"total -  Romance  -  Brazil",115,"Brazil","total -  Romance"
"total -  Thriller  -  Brazil",68,"Brazil","total -  Thriller"
"total -  Action  -  Bulgaria",220,"Bulgaria","total -  Action"
"total -  Adventure  -  Bulgaria",129,"Bulgaria","total -  Adventure"
"total -  Animation  -  Bulgaria",45,"Bulgaria","total -  Animation"
"total -  Comedy  -  Bulgaria",187,"Bulgaria","total -  Comedy"
"total -  Crime  -  Bulgaria",119,"Bulgaria","total -  Crime"
"total -  Drama  -  Bulgaria",303,"Bulgaria","total -  Drama"
"total -  Fantasy  -  Bulgaria",41,"Bulgaria","total -  Fantasy"
"total -  Mystery  -  Bulgaria",45,"Bulgaria","total -  Mystery"
"total -  Romance  -  Bulgaria",96,"Bulgaria","total -  Romance"
"total -  Thriller  -  Bulgaria",63,"Bulgaria","total -  Thriller"
"total -  Action  -  Canada",150,"Canada","total -  Action"
"total -  Adventure  -  Canada",102,"Canada","total -  Adventure"
"total -  Animation  -  Canada",52,"Canada","total -  Animation"
"total -  Comedy  -  Canada",181,"Canada","total -  Comedy"
"total -  Crime  -  Canada",134,"Canada","total -  Crime"
"total -  Drama  -  Canada",262,"Canada","total -  Drama"
"total -  Horror  -  Canada",37,"Canada","total -  Horror"
"total -  Mystery  -  Canada",71,"Canada","total -  Mystery"
"total -  Romance  -  Canada",81,"Canada","total -  Romance"
"total -  Thriller  -  Canada",84,"Canada","total -  Thriller"
"total -  Action  -  Chile",138,"Chile","total -  Action"
"total -  Adventure  -  Chile",123,"Chile","total -  Adventure"
"total -  Animation  -  Chile",77,"Chile","total -  Animation"
"total -  Comedy  -  Chile",199,"Chile","total -  Comedy"
"total -  Crime  -  Chile",103,"Chile","total -  Crime"
"total -  Drama  -  Chile",333,"Chile","total -  Drama"
"total -  Music  -  Chile",36,"Chile","total -  Music"
"total -  Mystery  -  Chile",44,"Chile","total -  Mystery"
"total -  Romance  -  Chile",121,"Chile","total -  Romance"
"total -  Thriller  -  Chile",62,"Chile","total -  Thriller"
"total -  Action  -  Colombia",152,"Colombia","total -  Action"
"total -  Adventure  -  Colombia",114,"Colombia","total -  Adventure"
"total -  Animation  -  Colombia",64,"Colombia","total -  Animation"
"total -  Comedy  -  Colombia",192,"Colombia","total -  Comedy"
"total -  Crime  -  Colombia",114,"Colombia","total -  Crime"
"total -  Drama  -  Colombia",287,"Colombia","total -  Drama"
"total -  Horror  -  Colombia",27,"Colombia","total -  Horror"
"total -  Mystery  -  Colombia",46,"Colombia","total -  Mystery"
"total -  Romance  -  Colombia",111,"Colombia","total -  Romance"
"total -  Thriller  -  Colombia",78,"Colombia","total -  Thriller"
"total -  Action  -  Costa Rica",134,"Costa Rica","total -  Action"
"total -  Adventure  -  Costa Rica",105,"Costa Rica","total -  Adventure"
"total -  Animation  -  Costa Rica",62,"Costa Rica","total -  Animation"
"total -  Comedy  -  Costa Rica",206,"Costa Rica","total -  Comedy"
"total -  Crime  -  Costa Rica",103,"Costa Rica","total -  Crime"
"total -  Drama  -  Costa Rica",323,"Costa Rica","total -  Drama"
"total -  Music  -  Costa Rica",33,"Costa Rica","total -  Music"
"total -  Mystery  -  Costa Rica",42,"Costa Rica","total -  Mystery"
"total -  Romance  -  Costa Rica",132,"Costa Rica","total -  Romance"
"total -  Thriller  -  Costa Rica",73,"Costa Rica","total -  Thriller"
"total -  Action  -  Croatia",173,"Croatia","total -  Action"
"total -  Adventure  -  Croatia",117,"Croatia","total -  Adventure"
"total -  Animation  -  Croatia",53,"Croatia","total -  Animation"
"total -  Comedy  -  Croatia",203,"Croatia","total -  Comedy"
"total -  Crime  -  Croatia",132,"Croatia","total -  Crime"
"total -  Drama  -  Croatia",289,"Croatia","total -  Drama"
"total -  Horror  -  Croatia",29,"Croatia","total -  Horror"
"total -  Mystery  -  Croatia",46,"Croatia","total -  Mystery"
"total -  Romance  -  Croatia",91,"Croatia","total -  Romance"
"total -  Thriller  -  Croatia",67,"Croatia","total -  Thriller"
"total -  Action  -  Cyprus",201,"Cyprus","total -  Action"
"total -  Adventure  -  Cyprus",136,"Cyprus","total -  Adventure"
"total -  Animation  -  Cyprus",52,"Cyprus","total -  Animation"
"total -  Comedy  -  Cyprus",195,"Cyprus","total -  Comedy"
"total -  Crime  -  Cyprus",123,"Cyprus","total -  Crime"
"total -  Drama  -  Cyprus",324,"Cyprus","total -  Drama"
"total -  Mystery  -  Cyprus",49,"Cyprus","total -  Mystery"
"total -  Romance  -  Cyprus",88,"Cyprus","total -  Romance"
"total -  Sci Fi  -  Cyprus",40,"Cyprus","total -  Sci Fi"
"total -  Thriller  -  Cyprus",56,"Cyprus","total -  Thriller"
"total -  Action  -  Czech Republic",195,"Czech Republic","total -  Action"
"total -  Adventure  -  Czech Republic",160,"Czech Republic","total -  Adventure"
"total -  Animation  -  Czech Republic",83,"Czech Republic","total -  Animation"
"total -  Comedy  -  Czech Republic",189,"Czech Republic","total -  Comedy"
"total -  Crime  -  Czech Republic",122,"Czech Republic","total -  Crime"
"total -  Drama  -  Czech Republic",290,"Czech Republic","total -  Drama"
"total -  Fantasy  -  Czech Republic",45,"Czech Republic","total -  Fantasy"
"total -  Mystery  -  Czech Republic",52,"Czech Republic","total -  Mystery"
"total -  Romance  -  Czech Republic",79,"Czech Republic","total -  Romance"
"total -  Thriller  -  Czech Republic",50,"Czech Republic","total -  Thriller"
"total -  Action  -  Denmark",189,"Denmark","total -  Action"
"total -  Adventure  -  Denmark",124,"Denmark","total -  Adventure"
"total -  Animation  -  Denmark",53,"Denmark","total -  Animation"
"total -  Comedy  -  Denmark",185,"Denmark","total -  Comedy"
"total -  Crime  -  Denmark",143,"Denmark","total -  Crime"
"total -  Drama  -  Denmark",312,"Denmark","total -  Drama"
"total -  Fantasy  -  Denmark",41,"Denmark","total -  Fantasy"
"total -  Mystery  -  Denmark",54,"Denmark","total -  Mystery"
"total -  Romance  -  Denmark",90,"Denmark","total -  Romance"
"total -  Thriller  -  Denmark",63,"Denmark","total -  Thriller"
