"id","n","label","parent"
"total -  Horror  -  Kenya",31,"Kenya","total -  Horror"
"total -  Mystery  -  Kenya",51,"Kenya","total -  Mystery"
"total -  Romance  -  Kenya",98,"Kenya","total -  Romance"
"total -  Sci Fi  -  Kenya",34,"Kenya","total -  Sci Fi"
"total -  Thriller  -  Kenya",85,"Kenya","total -  Thriller"
"total -  Action  -  Kuwait",209,"Kuwait","total -  Action"
"total -  Adventure  -  Kuwait",128,"Kuwait","total -  Adventure"
"total -  Animation  -  Kuwait",59,"Kuwait","total -  Animation"
"total -  Comedy  -  Kuwait",160,"Kuwait","total -  Comedy"
"total -  Crime  -  Kuwait",121,"Kuwait","total -  Crime"
"total -  Drama  -  Kuwait",312,"Kuwait","total -  Drama"
"total -  Fantasy  -  Kuwait",43,"Kuwait","total -  Fantasy"
"total -  Horror  -  Kuwait",43,"Kuwait","total -  Horror"
"total -  Mystery  -  Kuwait",52,"Kuwait","total -  Mystery"
"total -  Romance  -  Kuwait",74,"Kuwait","total -  Romance"
"total -  Thriller  -  Kuwait",89,"Kuwait","total -  Thriller"
"total -  Action  -  Latvia",168,"Latvia","total -  Action"
"total -  Adventure  -  Latvia",141,"Latvia","total -  Adventure"
"total -  Animation  -  Latvia",87,"Latvia","total -  Animation"
"total -  Comedy  -  Latvia",243,"Latvia","total -  Comedy"
"total -  Crime  -  Latvia",111,"Latvia","total -  Crime"
"total -  Drama  -  Latvia",267,"Latvia","total -  Drama"
"total -  Mystery  -  Latvia",57,"Latvia","total -  Mystery"
"total -  Romance  -  Latvia",84,"Latvia","total -  Romance"
"total -  Sci Fi  -  Latvia",36,"Latvia","total -  Sci Fi"
"total -  Thriller  -  Latvia",54,"Latvia","total -  Thriller"
"total -  Action  -  Lebanon",194,"Lebanon","total -  Action"
"total -  Adventure  -  Lebanon",106,"Lebanon","total -  Adventure"
"total -  Animation  -  Lebanon",32,"Lebanon","total -  Animation"
"total -  Comedy  -  Lebanon",183,"Lebanon","total -  Comedy"
"total -  Crime  -  Lebanon",144,"Lebanon","total -  Crime"
"total -  Drama  -  Lebanon",357,"Lebanon","total -  Drama"
"total -  Fantasy  -  Lebanon",48,"Lebanon","total -  Fantasy"
"total -  Horror  -  Lebanon",32,"Lebanon","total -  Horror"
"total -  Mystery  -  Lebanon",37,"Lebanon","total -  Mystery"
"total -  Romance  -  Lebanon",109,"Lebanon","total -  Romance"
"total -  Thriller  -  Lebanon",88,"Lebanon","total -  Thriller"
"total -  Action  -  Lithuania",145,"Lithuania","total -  Action"
"total -  Adventure  -  Lithuania",99,"Lithuania","total -  Adventure"
"total -  Animation  -  Lithuania",59,"Lithuania","total -  Animation"
"total -  Comedy  -  Lithuania",218,"Lithuania","total -  Comedy"
"total -  Crime  -  Lithuania",115,"Lithuania","total -  Crime"
"total -  Drama  -  Lithuania",261,"Lithuania","total -  Drama"
"total -  Fantasy  -  Lithuania",33,"Lithuania","total -  Fantasy"
"total -  Mystery  -  Lithuania",46,"Lithuania","total -  Mystery"
"total -  Romance  -  Lithuania",91,"Lithuania","total -  Romance"
"total -  Thriller  -  Lithuania",60,"Lithuania","total -  Thriller"
"total -  Action  -  Luxembourg",169,"Luxembourg","total -  Action"
"total -  Adventure  -  Luxembourg",128,"Luxembourg","total -  Adventure"
"total -  Animation  -  Luxembourg",53,"Luxembourg","total -  Animation"
"total -  Comedy  -  Luxembourg",184,"Luxembourg","total -  Comedy"
"total -  Crime  -  Luxembourg",132,"Luxembourg","total -  Crime"
"total -  Drama  -  Luxembourg",328,"Luxembourg","total -  Drama"
"total -  Fantasy  -  Luxembourg",46,"Luxembourg","total -  Fantasy"
"total -  Mystery  -  Luxembourg",48,"Luxembourg","total -  Mystery"
"total -  Romance  -  Luxembourg",95,"Luxembourg","total -  Romance"
"total -  Thriller  -  Luxembourg",61,"Luxembourg","total -  Thriller"
"total -  Action  -  Malaysia",247,"Malaysia","total -  Action"
"total -  Adventure  -  Malaysia",117,"Malaysia","total -  Adventure"
"total -  Comedy  -  Malaysia",166,"Malaysia","total -  Comedy"
"total -  Crime  -  Malaysia",118,"Malaysia","total -  Crime"
"total -  Drama  -  Malaysia",312,"Malaysia","total -  Drama"
"total -  Fantasy  -  Malaysia",40,"Malaysia","total -  Fantasy"
"total -  Horror  -  Malaysia",42,"Malaysia","total -  Horror"
"total -  Mystery  -  Malaysia",72,"Malaysia","total -  Mystery"
"total -  Romance  -  Malaysia",112,"Malaysia","total -  Romance"
"total -  Thriller  -  Malaysia",79,"Malaysia","total -  Thriller"
"total -  Action  -  Maldives",184,"Maldives","total -  Action"
"total -  Adventure  -  Maldives",101,"Maldives","total -  Adventure"
"total -  Animation  -  Maldives",48,"Maldives","total -  Animation"
"total -  Comedy  -  Maldives",178,"Maldives","total -  Comedy"
"total -  Crime  -  Maldives",135,"Maldives","total -  Crime"
"total -  Drama  -  Maldives",315,"Maldives","total -  Drama"
"total -  Fantasy  -  Maldives",32,"Maldives","total -  Fantasy"
"total -  Mystery  -  Maldives",74,"Maldives","total -  Mystery"
"total -  Romance  -  Maldives",96,"Maldives","total -  Romance"
"total -  Thriller  -  Maldives",58,"Maldives","total -  Thriller"
"total -  Action  -  Malta",172,"Malta","total -  Action"
"total -  Adventure  -  Malta",94,"Malta","total -  Adventure"
"total -  Comedy  -  Malta",166,"Malta","total -  Comedy"
"total -  Crime  -  Malta",143,"Malta","total -  Crime"
"total -  Drama  -  Malta",329,"Malta","total -  Drama"
"total -  Horror  -  Malta",32,"Malta","total -  Horror"
"total -  Mystery  -  Malta",53,"Malta","total -  Mystery"
"total -  Romance  -  Malta",104,"Malta","total -  Romance"
"total -  Sci Fi  -  Malta",37,"Malta","total -  Sci Fi"
"total -  Thriller  -  Malta",79,"Malta","total -  Thriller"
"total -  Action  -  Martinique",219,"Martinique","total -  Action"
"total -  Adventure  -  Martinique",131,"Martinique","total -  Adventure"
"total -  Animation  -  Martinique",47,"Martinique","total -  Animation"
"total -  Comedy  -  Martinique",159,"Martinique","total -  Comedy"
"total -  Crime  -  Martinique",140,"Martinique","total -  Crime"
"total -  Drama  -  Martinique",323,"Martinique","total -  Drama"
"total -  Fantasy  -  Martinique",42,"Martinique","total -  Fantasy"
"total -  Mystery  -  Martinique",41,"Martinique","total -  Mystery"
"total -  Romance  -  Martinique",80,"Martinique","total -  Romance"
"total -  Thriller  -  Martinique",72,"Martinique","total -  Thriller"
"total -  Action  -  Mauritius",198,"Mauritius","total -  Action"
"total -  Adventure  -  Mauritius",107,"Mauritius","total -  Adventure"
"total -  Comedy  -  Mauritius",197,"Mauritius","total -  Comedy"
"total -  Crime  -  Mauritius",135,"Mauritius","total -  Crime"
"total -  Drama  -  Mauritius",315,"Mauritius","total -  Drama"
"total -  Fantasy  -  Mauritius",42,"Mauritius","total -  Fantasy"
"total -  Horror  -  Mauritius",44,"Mauritius","total -  Horror"
"total -  Mystery  -  Mauritius",64,"Mauritius","total -  Mystery"
"total -  Romance  -  Mauritius",96,"Mauritius","total -  Romance"
"total -  Thriller  -  Mauritius",62,"Mauritius","total -  Thriller"
"total -  Action  -  Mexico",133,"Mexico","total -  Action"
"total -  Adventure  -  Mexico",133,"Mexico","total -  Adventure"
"total -  Animation  -  Mexico",87,"Mexico","total -  Animation"
"total -  Comedy  -  Mexico",215,"Mexico","total -  Comedy"
"total -  Crime  -  Mexico",108,"Mexico","total -  Crime"
"total -  Drama  -  Mexico",324,"Mexico","total -  Drama"
"total -  Fantasy  -  Mexico",33,"Mexico","total -  Fantasy"
"total -  Horror  -  Mexico",33,"Mexico","total -  Horror"
"total -  Mystery  -  Mexico",46,"Mexico","total -  Mystery"
"total -  Romance  -  Mexico",110,"Mexico","total -  Romance"
"total -  Thriller  -  Mexico",64,"Mexico","total -  Thriller"
"total -  Action  -  Morocco",248,"Morocco","total -  Action"
"total -  Adventure  -  Morocco",105,"Morocco","total -  Adventure"
"total -  Animation  -  Morocco",32,"Morocco","total -  Animation"
"total -  Comedy  -  Morocco",168,"Morocco","total -  Comedy"
"total -  Crime  -  Morocco",193,"Morocco","total -  Crime"
"total -  Drama  -  Morocco",349,"Morocco","total -  Drama"
"total -  Horror  -  Morocco",37,"Morocco","total -  Horror"
"total -  Mystery  -  Morocco",59,"Morocco","total -  Mystery"
"total -  Romance  -  Morocco",80,"Morocco","total -  Romance"
"total -  Thriller  -  Morocco",91,"Morocco","total -  Thriller"
"total -  Action  -  Netherlands",153,"Netherlands","total -  Action"
"total -  Adventure  -  Netherlands",114,"Netherlands","total -  Adventure"
"total -  Animation  -  Netherlands",58,"Netherlands","total -  Animation"
"total -  Comedy  -  Netherlands",162,"Netherlands","total -  Comedy"
"total -  Crime  -  Netherlands",148,"Netherlands","total -  Crime"
"total -  Drama  -  Netherlands",339,"Netherlands","total -  Drama"
"total -  Fantasy  -  Netherlands",39,"Netherlands","total -  Fantasy"
"total -  Mystery  -  Netherlands",56,"Netherlands","total -  Mystery"
"total -  Romance  -  Netherlands",89,"Netherlands","total -  Romance"
"total -  Thriller  -  Netherlands",79,"Netherlands","total -  Thriller"
"total -  Action  -  New Caledonia",271,"New Caledonia","total -  Action"
"total -  Adventure  -  New Caledonia",167,"New Caledonia","total -  Adventure"
"total -  Animation  -  New Caledonia",63,"New Caledonia","total -  Animation"
"total -  Comedy  -  New Caledonia",145,"New Caledonia","total -  Comedy"
"total -  Crime  -  New Caledonia",139,"New Caledonia","total -  Crime"
"total -  Drama  -  New Caledonia",307,"New Caledonia","total -  Drama"
"total -  Fantasy  -  New Caledonia",53,"New Caledonia","total -  Fantasy"
"total -  Horror  -  New Caledonia",36,"New Caledonia","total -  Horror"
"total -  Romance  -  New Caledonia",59,"New Caledonia","total -  Romance"
"total -  Thriller  -  New Caledonia",72,"New Caledonia","total -  Thriller"
"total -  Action  -  New Zealand",184,"New Zealand","total -  Action"
"total -  Adventure  -  New Zealand",133,"New Zealand","total -  Adventure"
"total -  Animation  -  New Zealand",69,"New Zealand","total -  Animation"
"total -  Comedy  -  New Zealand",168,"New Zealand","total -  Comedy"
"total -  Crime  -  New Zealand",120,"New Zealand","total -  Crime"
"total -  Drama  -  New Zealand",290,"New Zealand","total -  Drama"
"total -  Mystery  -  New Zealand",60,"New Zealand","total -  Mystery"
"total -  Romance  -  New Zealand",58,"New Zealand","total -  Romance"
"total -  Sci Fi  -  New Zealand",32,"New Zealand","total -  Sci Fi"
"total -  Thriller  -  New Zealand",74,"New Zealand","total -  Thriller"
"total -  Action  -  Nicaragua",144,"Nicaragua","total -  Action"
"total -  Adventure  -  Nicaragua",88,"Nicaragua","total -  Adventure"
"total -  Animation  -  Nicaragua",45,"Nicaragua","total -  Animation"
"total -  Comedy  -  Nicaragua",192,"Nicaragua","total -  Comedy"
"total -  Crime  -  Nicaragua",109,"Nicaragua","total -  Crime"
"total -  Drama  -  Nicaragua",315,"Nicaragua","total -  Drama"
"total -  Music  -  Nicaragua",31,"Nicaragua","total -  Music"
"total -  Mystery  -  Nicaragua",43,"Nicaragua","total -  Mystery"
"total -  Romance  -  Nicaragua",123,"Nicaragua","total -  Romance"
"total -  Thriller  -  Nicaragua",74,"Nicaragua","total -  Thriller"
"total -  Action  -  Nigeria",186,"Nigeria","total -  Action"
"total -  Adventure  -  Nigeria",69,"Nigeria","total -  Adventure"
"total -  Comedy  -  Nigeria",134,"Nigeria","total -  Comedy"
"total -  Crime  -  Nigeria",125,"Nigeria","total -  Crime"
"total -  Drama  -  Nigeria",327,"Nigeria","total -  Drama"
"total -  Fantasy  -  Nigeria",33,"Nigeria","total -  Fantasy"
"total -  Mystery  -  Nigeria",62,"Nigeria","total -  Mystery"
"total -  Romance  -  Nigeria",114,"Nigeria","total -  Romance"
"total -  Sci Fi  -  Nigeria",38,"Nigeria","total -  Sci Fi"
"total -  Thriller  -  Nigeria",60,"Nigeria","total -  Thriller"
"total -  Action  -  Norway",182,"Norway","total -  Action"
"total -  Adventure  -  Norway",122,"Norway","total -  Adventure"
"total -  Animation  -  Norway",47,"Norway","total -  Animation"
"total -  Comedy  -  Norway",175,"Norway","total -  Comedy"
"total -  Crime  -  Norway",138,"Norway","total -  Crime"
"total -  Drama  -  Norway",343,"Norway","total -  Drama"
"total -  Fantasy  -  Norway",40,"Norway","total -  Fantasy"
"total -  Mystery  -  Norway",48,"Norway","total -  Mystery"
"total -  Romance  -  Norway",98,"Norway","total -  Romance"
"total -  Thriller  -  Norway",60,"Norway","total -  Thriller"
"total -  Action  -  Oman",190,"Oman","total -  Action"
"total -  Adventure  -  Oman",95,"Oman","total -  Adventure"
"total -  Comedy  -  Oman",123,"Oman","total -  Comedy"
"total -  Crime  -  Oman",125,"Oman","total -  Crime"
"total -  Drama  -  Oman",276,"Oman","total -  Drama"
"total -  Fantasy  -  Oman",36,"Oman","total -  Fantasy"
"total -  Horror  -  Oman",40,"Oman","total -  Horror"
"total -  Mystery  -  Oman",49,"Oman","total -  Mystery"
"total -  Romance  -  Oman",57,"Oman","total -  Romance"
"total -  Thriller  -  Oman",83,"Oman","total -  Thriller"
"total -  Action  -  Pakistan",277,"Pakistan","total -  Action"
"total -  Adventure  -  Pakistan",91,"Pakistan","total -  Adventure"
"total -  Comedy  -  Pakistan",156,"Pakistan","total -  Comedy"
"total -  Crime  -  Pakistan",207,"Pakistan","total -  Crime"
"total -  Drama  -  Pakistan",353,"Pakistan","total -  Drama"
"total -  Horror  -  Pakistan",37,"Pakistan","total -  Horror"
"total -  Mystery  -  Pakistan",92,"Pakistan","total -  Mystery"
"total -  Romance  -  Pakistan",53,"Pakistan","total -  Romance"
"total -  Sci Fi  -  Pakistan",34,"Pakistan","total -  Sci Fi"
"total -  Thriller  -  Pakistan",81,"Pakistan","total -  Thriller"
"total -  Action  -  Panama",154,"Panama","total -  Action"
"total -  Adventure  -  Panama",113,"Panama","total -  Adventure"
"total -  Animation  -  Panama",65,"Panama","total -  Animation"
"total -  Comedy  -  Panama",190,"Panama","total -  Comedy"
"total -  Crime  -  Panama",122,"Panama","total -  Crime"
"total -  Drama  -  Panama",323,"Panama","total -  Drama"
"total -  Horror  -  Panama",30,"Panama","total -  Horror"
"total -  Mystery  -  Panama",39,"Panama","total -  Mystery"
"total -  Romance  -  Panama",124,"Panama","total -  Romance"
"total -  Thriller  -  Panama",73,"Panama","total -  Thriller"
"total -  Action  -  Paraguay",145,"Paraguay","total -  Action"
"total -  Adventure  -  Paraguay",102,"Paraguay","total -  Adventure"
"total -  Animation  -  Paraguay",55,"Paraguay","total -  Animation"
"total -  Comedy  -  Paraguay",194,"Paraguay","total -  Comedy"
"total -  Crime  -  Paraguay",116,"Paraguay","total -  Crime"
"total -  Drama  -  Paraguay",326,"Paraguay","total -  Drama"
"total -  Music  -  Paraguay",32,"Paraguay","total -  Music"
"total -  Mystery  -  Paraguay",50,"Paraguay","total -  Mystery"
"total -  Romance  -  Paraguay",121,"Paraguay","total -  Romance"
"total -  Thriller  -  Paraguay",78,"Paraguay","total -  Thriller"
"total -  Action  -  Peru",169,"Peru","total -  Action"
"total -  Adventure  -  Peru",124,"Peru","total -  Adventure"
"total -  Animation  -  Peru",69,"Peru","total -  Animation"
"total -  Comedy  -  Peru",189,"Peru","total -  Comedy"
"total -  Crime  -  Peru",109,"Peru","total -  Crime"
"total -  Drama  -  Peru",304,"Peru","total -  Drama"
"total -  Fantasy  -  Peru",30,"Peru","total -  Fantasy"
"total -  Mystery  -  Peru",44,"Peru","total -  Mystery"
"total -  Romance  -  Peru",110,"Peru","total -  Romance"
"total -  Thriller  -  Peru",69,"Peru","total -  Thriller"
"total -  Action  -  Philippines",215,"Philippines","total -  Action"
"total -  Adventure  -  Philippines",101,"Philippines","total -  Adventure"
"total -  Comedy  -  Philippines",169,"Philippines","total -  Comedy"
"total -  Crime  -  Philippines",108,"Philippines","total -  Crime"
"total -  Drama  -  Philippines",320,"Philippines","total -  Drama"
"total -  Horror  -  Philippines",49,"Philippines","total -  Horror"
"total -  Mystery  -  Philippines",64,"Philippines","total -  Mystery"
"total -  Romance  -  Philippines",117,"Philippines","total -  Romance"
"total -  Sci Fi  -  Philippines",59,"Philippines","total -  Sci Fi"
"total -  Thriller  -  Philippines",78,"Philippines","total -  Thriller"
"total -  Action  -  Poland",157,"Poland","total -  Action"
"total -  Adventure  -  Poland",173,"Poland","total -  Adventure"
"total -  Animation  -  Poland",105,"Poland","total -  Animation"
"total -  Comedy  -  Poland",208,"Poland","total -  Comedy"
"total -  Crime  -  Poland",138,"Poland","total -  Crime"
"total -  Drama  -  Poland",300,"Poland","total -  Drama"
"total -  Fantasy  -  Poland",39,"Poland","total -  Fantasy"
"total -  Mystery  -  Poland",50,"Poland","total -  Mystery"
"total -  Romance  -  Poland",76,"Poland","total -  Romance"
"total -  Thriller  -  Poland",80,"Poland","total -  Thriller"
"total -  Action  -  Portugal",164,"Portugal","total -  Action"
"total -  Adventure  -  Portugal",127,"Portugal","total -  Adventure"
"total -  Animation  -  Portugal",36,"Portugal","total -  Animation"
"total -  Comedy  -  Portugal",188,"Portugal","total -  Comedy"
"total -  Crime  -  Portugal",111,"Portugal","total -  Crime"
"total -  Drama  -  Portugal",324,"Portugal","total -  Drama"
"total -  Family  -  Portugal",46,"Portugal","total -  Family"
"total -  Mystery  -  Portugal",37,"Portugal","total -  Mystery"
"total -  Romance  -  Portugal",95,"Portugal","total -  Romance"
"total -  Thriller  -  Portugal",67,"Portugal","total -  Thriller"
"total -  Action  -  Qatar",203,"Qatar","total -  Action"
"total -  Adventure  -  Qatar",115,"Qatar","total -  Adventure"
"total -  Comedy  -  Qatar",154,"Qatar","total -  Comedy"
"total -  Crime  -  Qatar",127,"Qatar","total -  Crime"
"total -  Drama  -  Qatar",340,"Qatar","total -  Drama"
"total -  Fantasy  -  Qatar",43,"Qatar","total -  Fantasy"
"total -  Horror  -  Qatar",37,"Qatar","total -  Horror"
"total -  Mystery  -  Qatar",50,"Qatar","total -  Mystery"
"total -  Romance  -  Qatar",107,"Qatar","total -  Romance"
"total -  Thriller  -  Qatar",82,"Qatar","total -  Thriller"
"total -  Action  -  Romania",173,"Romania","total -  Action"
"total -  Adventure  -  Romania",107,"Romania","total -  Adventure"
"total -  Comedy  -  Romania",161,"Romania","total -  Comedy"
"total -  Crime  -  Romania",148,"Romania","total -  Crime"
"total -  Drama  -  Romania",353,"Romania","total -  Drama"
"total -  Fantasy  -  Romania",40,"Romania","total -  Fantasy"
"total -  Horror  -  Romania",34,"Romania","total -  Horror"
"total -  Mystery  -  Romania",69,"Romania","total -  Mystery"
"total -  Romance  -  Romania",102,"Romania","total -  Romance"
"total -  Thriller  -  Romania",91,"Romania","total -  Thriller"
"total -  Action  -  Russia",254,"Russia","total -  Action"
"total -  Adventure  -  Russia",137,"Russia","total -  Adventure"
"total -  Animation  -  Russia",57,"Russia","total -  Animation"
"total -  Comedy  -  Russia",186,"Russia","total -  Comedy"
"total -  Crime  -  Russia",206,"Russia","total -  Crime"
"total -  Drama  -  Russia",339,"Russia","total -  Drama"
"total -  Fantasy  -  Russia",35,"Russia","total -  Fantasy"
"total -  Mystery  -  Russia",49,"Russia","total -  Mystery"
"total -  Romance  -  Russia",57,"Russia","total -  Romance"
"total -  Thriller  -  Russia",67,"Russia","total -  Thriller"
"total -  Action  -  Réunion",220,"Réunion","total -  Action"
"total -  Adventure  -  Réunion",137,"Réunion","total -  Adventure"
"total -  Animation  -  Réunion",59,"Réunion","total -  Animation"
"total -  Comedy  -  Réunion",171,"Réunion","total -  Comedy"
"total -  Crime  -  Réunion",121,"Réunion","total -  Crime"
"total -  Drama  -  Réunion",326,"Réunion","total -  Drama"
"total -  Fantasy  -  Réunion",52,"Réunion","total -  Fantasy"
"total -  Horror  -  Réunion",47,"Réunion","total -  Horror"
"total -  Romance  -  Réunion",74,"Réunion","total -  Romance"
"total -  Thriller  -  Réunion",69,"Réunion","total -  Thriller"
"total -  Action  -  Saudi Arabia",230,"Saudi Arabia","total -  Action"
"total -  Adventure  -  Saudi Arabia",94,"Saudi Arabia","total -  Adventure"
"total -  Animation  -  Saudi Arabia",42,"Saudi Arabia","total -  Animation"
"total -  Comedy  -  Saudi Arabia",148,"Saudi Arabia","total -  Comedy"
"total -  Crime  -  Saudi Arabia",159,"Saudi Arabia","total -  Crime"
"total -  Drama  -  Saudi Arabia",338,"Saudi Arabia","total -  Drama"
"total -  Horror  -  Saudi Arabia",48,"Saudi Arabia","total -  Horror"
"total -  Mystery  -  Saudi Arabia",53,"Saudi Arabia","total -  Mystery"
"total -  Romance  -  Saudi Arabia",73,"Saudi Arabia","total -  Romance"
"total -  Thriller  -  Saudi Arabia",94,"Saudi Arabia","total -  Thriller"
"total -  Action  -  Serbia",206,"Serbia","total -  Action"
"total -  Adventure  -  Serbia",114,"Serbia","total -  Adventure"
"total -  Animation  -  Serbia",37,"Serbia","total -  Animation"
"total -  Comedy  -  Serbia",188,"Serbia","total -  Comedy"
"total -  Crime  -  Serbia",147,"Serbia","total -  Crime"
"total -  Drama  -  Serbia",315,"Serbia","total -  Drama"
"total -  Horror  -  Serbia",29,"Serbia","total -  Horror"
"total -  Mystery  -  Serbia",45,"Serbia","total -  Mystery"
"total -  Romance  -  Serbia",95,"Serbia","total -  Romance"
"total -  Thriller  -  Serbia",83,"Serbia","total -  Thriller"
"total -  Action  -  Singapore",225,"Singapore","total -  Action"
"total -  Adventure  -  Singapore",100,"Singapore","total -  Adventure"
"total -  Comedy  -  Singapore",149,"Singapore","total -  Comedy"
"total -  Crime  -  Singapore",120,"Singapore","total -  Crime"
"total -  Drama  -  Singapore",333,"Singapore","total -  Drama"
"total -  Horror  -  Singapore",35,"Singapore","total -  Horror"
"total -  Mystery  -  Singapore",72,"Singapore","total -  Mystery"
"total -  Romance  -  Singapore",103,"Singapore","total -  Romance"
"total -  Sci Fi  -  Singapore",54,"Singapore","total -  Sci Fi"
"total -  Thriller  -  Singapore",83,"Singapore","total -  Thriller"
"total -  Action  -  Slovakia",187,"Slovakia","total -  Action"
"total -  Adventure  -  Slovakia",147,"Slovakia","total -  Adventure"
"total -  Animation  -  Slovakia",70,"Slovakia","total -  Animation"
"total -  Comedy  -  Slovakia",192,"Slovakia","total -  Comedy"
"total -  Crime  -  Slovakia",129,"Slovakia","total -  Crime"
"total -  Drama  -  Slovakia",298,"Slovakia","total -  Drama"
"total -  Fantasy  -  Slovakia",35,"Slovakia","total -  Fantasy"
"total -  Mystery  -  Slovakia",46,"Slovakia","total -  Mystery"
"total -  Romance  -  Slovakia",81,"Slovakia","total -  Romance"
"total -  Thriller  -  Slovakia",53,"Slovakia","total -  Thriller"
"total -  Action  -  Slovenia",186,"Slovenia","total -  Action"
"total -  Adventure  -  Slovenia",119,"Slovenia","total -  Adventure"
"total -  Animation  -  Slovenia",40,"Slovenia","total -  Animation"
"total -  Comedy  -  Slovenia",194,"Slovenia","total -  Comedy"
"total -  Crime  -  Slovenia",114,"Slovenia","total -  Crime"
"total -  Drama  -  Slovenia",264,"Slovenia","total -  Drama"
"total -  Fantasy  -  Slovenia",37,"Slovenia","total -  Fantasy"
"total -  Mystery  -  Slovenia",38,"Slovenia","total -  Mystery"
"total -  Romance  -  Slovenia",86,"Slovenia","total -  Romance"
"total -  Thriller  -  Slovenia",66,"Slovenia","total -  Thriller"
"total -  Action  -  South Africa",187,"South Africa","total -  Action"
"total -  Adventure  -  South Africa",106,"South Africa","total -  Adventure"
"total -  Animation  -  South Africa",45,"South Africa","total -  Animation"
"total -  Comedy  -  South Africa",198,"South Africa","total -  Comedy"
"total -  Crime  -  South Africa",103,"South Africa","total -  Crime"
"total -  Drama  -  South Africa",313,"South Africa","total -  Drama"
"total -  Mystery  -  South Africa",60,"South Africa","total -  Mystery"
"total -  Romance  -  South Africa",106,"South Africa","total -  Romance"
"total -  Sci Fi  -  South Africa",48,"South Africa","total -  Sci Fi"
"total -  Thriller  -  South Africa",69,"South Africa","total -  Thriller"
"total -  Action  -  South Korea",183,"South Korea","total -  Action"
"total -  Adventure  -  South Korea",66,"South Korea","total -  Adventure"
"total -  Comedy  -  South Korea",177,"South Korea","total -  Comedy"
"total -  Crime  -  South Korea",82,"South Korea","total -  Crime"
"total -  Drama  -  South Korea",334,"South Korea","total -  Drama"
"total -  Fantasy  -  South Korea",39,"South Korea","total -  Fantasy"
"total -  Horror  -  South Korea",32,"South Korea","total -  Horror"
"total -  Mystery  -  South Korea",43,"South Korea","total -  Mystery"
"total -  Romance  -  South Korea",132,"South Korea","total -  Romance"
"total -  Thriller  -  South Korea",83,"South Korea","total -  Thriller"
"total -  Action  -  Spain",169,"Spain","total -  Action"
"total -  Adventure  -  Spain",106,"Spain","total -  Adventure"
"total -  Comedy  -  Spain",175,"Spain","total -  Comedy"
"total -  Crime  -  Spain",139,"Spain","total -  Crime"
"total -  Drama  -  Spain",320,"Spain","total -  Drama"
"total -  Fantasy  -  Spain",33,"Spain","total -  Fantasy"
"total -  Horror  -  Spain",38,"Spain","total -  Horror"
"total -  Mystery  -  Spain",50,"Spain","total -  Mystery"
"total -  Romance  -  Spain",96,"Spain","total -  Romance"
"total -  Thriller  -  Spain",61,"Spain","total -  Thriller"
"total -  Action  -  Sri Lanka",183,"Sri Lanka","total -  Action"
"total -  Adventure  -  Sri Lanka",72,"Sri Lanka","total -  Adventure"
"total -  Comedy  -  Sri Lanka",175,"Sri Lanka","total -  Comedy"
"total -  Crime  -  Sri Lanka",135,"Sri Lanka","total -  Crime"
"total -  Drama  -  Sri Lanka",362,"Sri Lanka","total -  Drama"
"total -  Fantasy  -  Sri Lanka",31,"Sri Lanka","total -  Fantasy"
"total -  Mystery  -  Sri Lanka",76,"Sri Lanka","total -  Mystery"
"total -  Romance  -  Sri Lanka",107,"Sri Lanka","total -  Romance"
"total -  Sci Fi  -  Sri Lanka",39,"Sri Lanka","total -  Sci Fi"
"total -  Thriller  -  Sri Lanka",65,"Sri Lanka","total -  Thriller"
"total -  Action  -  Sweden",186,"Sweden","total -  Action"
"total -  Adventure  -  Sweden",131,"Sweden","total -  Adventure"
"total -  Animation  -  Sweden",55,"Sweden","total -  Animation"
"total -  Comedy  -  Sweden",168,"Sweden","total -  Comedy"
"total -  Crime  -  Sweden",136,"Sweden","total -  Crime"
"total -  Drama  -  Sweden",337,"Sweden","total -  Drama"
"total -  Fantasy  -  Sweden",44,"Sweden","total -  Fantasy"
"total -  Mystery  -  Sweden",54,"Sweden","total -  Mystery"
"total -  Romance  -  Sweden",84,"Sweden","total -  Romance"
"total -  Thriller  -  Sweden",62,"Sweden","total -  Thriller"
"total -  Action  -  Switzerland",182,"Switzerland","total -  Action"
"total -  Adventure  -  Switzerland",134,"Switzerland","total -  Adventure"
"total -  Comedy  -  Switzerland",182,"Switzerland","total -  Comedy"
"total -  Crime  -  Switzerland",146,"Switzerland","total -  Crime"
"total -  Drama  -  Switzerland",325,"Switzerland","total -  Drama"
"total -  Family  -  Switzerland",42,"Switzerland","total -  Family"
"total -  Fantasy  -  Switzerland",54,"Switzerland","total -  Fantasy"
"total -  Mystery  -  Switzerland",55,"Switzerland","total -  Mystery"
"total -  Romance  -  Switzerland",83,"Switzerland","total -  Romance"
"total -  Thriller  -  Switzerland",64,"Switzerland","total -  Thriller"
"total -  Action  -  Taiwan",202,"Taiwan","total -  Action"
"total -  Adventure  -  Taiwan",98,"Taiwan","total -  Adventure"
"total -  Comedy  -  Taiwan",158,"Taiwan","total -  Comedy"
"total -  Crime  -  Taiwan",98,"Taiwan","total -  Crime"
"total -  Drama  -  Taiwan",363,"Taiwan","total -  Drama"
"total -  Fantasy  -  Taiwan",36,"Taiwan","total -  Fantasy"
"total -  Mystery  -  Taiwan",77,"Taiwan","total -  Mystery"
"total -  Romance  -  Taiwan",170,"Taiwan","total -  Romance"
